chain_id,model,condition,response,predicted_label,ground_truth_label,correct,prompt_tokens,completion_tokens,cost
nba_real_0001,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0001,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0001,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0001,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0002,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0002,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0002,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0002,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0003,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0003,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0003,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0003,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0004,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0004,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0004,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0004,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0005,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0005,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0005,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0005,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0006,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0006,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0006,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0006,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0007,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0007,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0007,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0007,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0008,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0008,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0008,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0008,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0009,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0009,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0009,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0009,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0010,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0010,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0010,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0010,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0011,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0011,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0011,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0011,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0012,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0012,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0012,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0012,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0013,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0013,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0013,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0013,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0014,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0014,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0014,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0014,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0015,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0015,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0015,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0015,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0016,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0016,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0016,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0016,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0017,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0017,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0017,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0017,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0018,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0018,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0018,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0018,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0019,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0019,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0019,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0019,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0020,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0020,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0020,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0020,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0021,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0021,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0021,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0021,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0022,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0022,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0022,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0022,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0023,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0023,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0023,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0023,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0024,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0024,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0024,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0024,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0025,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0025,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0025,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0025,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0026,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0026,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0026,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0026,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0027,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0027,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0027,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0027,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0028,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0028,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0028,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0028,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0029,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0029,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_real_0029,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
nba_real_0029,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
nba_shuffled_0000,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0000,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0000,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0000,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0001,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0001,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0001,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0001,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0002,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0002,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0002,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0002,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0003,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0003,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0003,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0003,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0004,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0004,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0004,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0004,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0005,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0005,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0005,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0005,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0006,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0006,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0006,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0006,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0007,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0007,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0007,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0007,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0008,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0008,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0008,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0008,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0009,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0009,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0009,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0009,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0010,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0010,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0010,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0010,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0011,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0011,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0011,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0011,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0012,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0012,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0012,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0012,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0013,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0013,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0013,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0013,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0014,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0014,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0014,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0014,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0015,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0015,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0015,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0015,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0016,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0016,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0016,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0016,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0017,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0017,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0017,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0017,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0018,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0018,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0018,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0018,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0019,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0019,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0019,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0019,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0020,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0020,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0020,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0020,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0021,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0021,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0021,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0021,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0022,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0022,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0022,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0022,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0023,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0023,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0023,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0023,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0024,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0024,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0024,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0024,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0025,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0025,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0025,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0025,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0026,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0026,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0026,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0026,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0027,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0027,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0027,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0027,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0028,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0028,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0028,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0028,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0029,claude-sonnet-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0029,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0029,claude-haiku-4-5,control,YES,YES,NO,False,90,30,0.0003
nba_shuffled_0029,claude-haiku-4-5,v51_constraint_adapted,YES,YES,NO,False,90,30,0.0003
csgo_real_0000,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
csgo_real_0000,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
csgo_real_0000,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
csgo_real_0000,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
csgo_real_0001,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
csgo_real_0001,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
csgo_real_0001,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
csgo_real_0001,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
csgo_real_0002,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
csgo_real_0002,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
csgo_real_0002,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
csgo_real_0002,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
csgo_real_0003,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
